"Created by MOBILEstatistics - INIT Inc."

"No","Type","Stop","Actual arr","Actual dep","Sched. arr","Sched. dep","EMPTY_1","Boardings","Alightings","Load","EMPTY_2","Sched. distance","Passenger mileage","Total PM","EMPTY_3","Longitude","Latitude","Graphic"
"1","Trip","Line 1, Block 108","","7:00:54","","7:15:00","","27","27","0","","0","135","0","","","","Pattern: West:To The Boardwalk"
"2","Stop","Fairview Park Terminal (2232)","7:10:50","7:15:29","7:15:00","7:15:00","","6","0","6","","0","0","0","","-80.441367","43.423398",""
"3","Drive through without schedule time","Kingsway / Wilson (1559)","7:16:37","7:16:37","","","","0","0","6","","190","2","2","","-80.443185","43.422712",""
"4","Drive through without schedule time","385 Fairway Rd (1560)","7:17:55","7:17:55","","","","0","0","6","","623","3","4","","-80.439608","43.421532",""
"5","Drive through without schedule time","Fairway / Walmart (1047)","7:18:35","7:18:35","","","","0","0","6","","1,197","4","8","","-80.434402","43.424202",""
"6","Drive through without schedule time","Fairway / King (1048)","7:19:47","7:19:47","","","","0","0","6","","1,787","4","11","","-80.43186","43.429827",""
"7","Drive through without schedule time","Fairway / Morgan (1049)","7:20:02","7:20:02","","","","0","0","6","","1,965","2","12","","-80.431205","43.430862",""
"8","Drive through without schedule time","Fairway / Thaler (1050)","7:20:27","7:20:27","","","","0","0","6","","2,208","2","14","","-80.42959","43.432767",""
"9","Drive through without schedule time","Thaler / Fairway (1866)","7:20:55","7:20:55","","","","0","0","6","","2,473","2","15","","-80.431563","43.434412",""
"10","Stop without schedule time","Kinzie / Thaler (3478)","7:21:25","7:21:53","","","","2","0","8","","2,711","2","17","","-80.43223","43.435883",""
"11","Stop","River / Kinzie (3479)","7:23:15","7:23:34","7:22:00","7:22:00","","2","0","10","","2,926","2","18","","-80.431182","43.437312",""
"12","Drive through without schedule time","River / Old Chicopee (1664)","7:23:58","7:23:58","","","","0","0","10","","3,201","3","21","","-80.433333","43.439308",""
"13","Drive through without schedule time","River / Rennie (1665)","7:24:49","7:24:49","","","","0","0","10","","3,861","7","28","","-80.439457","43.443588",""
"14","Drive through without schedule time","River / Bradley (1068)","7:25:15","7:25:15","","","","0","0","10","","4,221","4","31","","-80.441678","43.446165",""
"15","Stop without schedule time","River / Conway (1069)","7:25:25","7:25:41","","","","0","0","10","","4,384","2","33","","-80.442307","43.447373",""
"16","Stop without schedule time","River / Stanley Park Mall (1070)","7:26:16","7:26:49","","","","3","2","11","","4,661","3","36","","-80.44343","43.449532",""
"17","Drive through","River / Ottawa (1071)","7:27:30","7:27:30","7:26:00","7:26:00","","0","0","11","","4,891","3","38","","-80.444622","43.451453",""
"18","Stop without schedule time","River / Path To Secord (1072)","7:27:52","7:28:06","","","","0","1","10","","5,132","3","41","","-80.44604","43.453568",""
"19","Stop without schedule time","River / Gibson (3574)","7:28:25","7:28:48","","","","1","0","11","","5,341","3","43","","-80.447033","43.455098",""
"20","Stop without schedule time","River / Halliwell (1073)","7:30:10","7:30:27","","","","0","0","11","","5,759","5","48","","-80.45071","43.457687",""
"21","Stop without schedule time","River / Manchester (1074)","7:30:59","7:31:13","","","","0","0","11","","6,139","5","52","","-80.455068","43.458825",""
"22","Stop without schedule time","Krug / River (2395)","7:31:44","7:31:59","","","","0","0","11","","6,444","4","55","","-80.458392","43.458243",""
"23","Drive through without schedule time","Krug / Sherwood (2396)","7:32:18","7:32:18","","","","0","0","11","","6,675","3","58","","-80.461058","43.457357",""
"24","Drive through without schedule time","Krug / Cambridge (2369)","7:32:41","7:32:41","","","","0","0","11","","6,999","4","61","","-80.46464","43.455308",""
"25","Stop without schedule time","Krug / Becker (2400)","7:33:05","7:33:19","","","","0","0","11","","7,341","4","65","","-80.467762","43.454267",""
"26","Stop without schedule time","Krug / Melrose (2402)","7:33:50","7:34:04","","","","0","0","11","","7,564","3","68","","-80.47038","43.45339",""
"27","Drive through","Krug / East (2403)","7:34:22","7:34:22","7:34:00","7:34:00","","0","0","11","","7,772","3","70","","-80.472867","43.452535",""
"28","Drive through without schedule time","Krug / Lydia (2404)","7:34:38","7:34:38","","","","0","0","11","","7,969","3","72","","-80.475115","43.451767",""
"29","Stop without schedule time","Krug / Samuel (2405)","7:34:58","7:35:17","","","","1","0","12","","8,197","3","75","","-80.477598","43.450895",""
"30","Stop without schedule time","Krug / Lancaster (2407)","7:35:44","7:35:59","","","","0","0","12","","8,510","4","78","","-80.480917","43.449772",""
"31","Drive through without schedule time","Weber / Scott (2408)","7:37:18","7:37:18","","","","0","0","12","","8,859","5","82","","-80.484727","43.450755",""
"32","Drive through without schedule time","Frederick / King (1088)","7:38:39","7:38:39","","","","0","0","12","","9,220","5","87","","-80.488038","43.44932",""
"33","Drive through without schedule time","King / Queen (1889)","7:39:00","7:39:00","","","","0","0","12","","9,405","3","89","","-80.488993","43.44971",""
"34","Drive through without schedule time","King / Ontario (1890)","7:40:01","7:40:01","","","","0","0","12","","9,579","3","91","","-80.491187","43.450523",""
"35","Stop","Charles Street Terminal (2710)","7:41:12","7:44:56","7:40:00","7:44:00","","4","10","6","","9,975","5","96","","-80.492568","43.449223",""
"36","Drive through without schedule time","Queen / Courtland (2754)","7:46:36","7:46:36","","","","0","0","6","","10,533","4","99","","-80.493995","43.445138",""
"37","Drive through without schedule time","Queen / Schneider (3069)","7:46:49","7:46:49","","","","0","0","6","","10,691","1","100","","-80.494837","43.4443",""
"38","Drive through without schedule time","Queen / Homewood (2755)","7:47:46","7:47:46","","","","0","0","6","","11,000","2","102","","-80.497437","43.441743",""
"39","Stop without schedule time","Queens / Highland (3293)","7:48:11","7:48:29","","","","0","1","5","","11,286","2","104","","-80.498873","43.440323",""
"40","Drive through without schedule time","Queens / Spadina (3294)","7:49:04","7:49:04","","","","0","0","5","","11,449","1","105","","-80.500125","43.43909",""
"41","Stop without schedule time","Queens / St. Marys Hospital (3295)","7:49:23","7:49:39","","","","0","3","2","","11,613","1","105","","-80.501735","43.438457",""
"42","Drive through without schedule time","Queens / Belmont (3296)","7:50:15","7:50:15","","","","0","0","2","","11,873","1","106","","-80.503642","43.436587",""
"43","Stop without schedule time","Queens / Community Trail (3297)","7:50:36","7:50:52","","","","0","0","2","","12,124","1","106","","-80.506155","43.435148",""
"44","Drive through without schedule time","Queens / Hahn (3298)","7:51:13","7:51:13","","","","0","0","2","","12,349","1","107","","-80.508438","43.434082",""
"45","Stop","Queens / Westmount (3299)","7:51:59","7:52:23","7:51:00","7:51:00","","5","0","7","","12,581","1","107","","-80.510943","43.433198",""
"46","Drive through without schedule time","Queens / Cecile (3300)","7:52:47","7:52:47","","","","0","0","7","","12,859","2","109","","-80.514262","43.432013",""
"47","Drive through without schedule time","Queens / Silverspring (3303)","7:53:18","7:53:18","","","","0","0","7","","13,216","3","112","","-80.518318","43.430263",""
"48","Drive through without schedule time","Queens / Eagen (3304)","7:53:35","7:53:35","","","","0","0","7","","13,443","2","113","","-80.520302","43.429613",""
"49","Stop","Queens / Fischer-Hallman (3306)","7:54:43","7:55:04","7:54:00","7:54:00","","1","4","4","","13,798","3","116","","-80.52448","43.428497",""
"50","Stop without schedule time","Queens / Highland Hills Mall (3307)","7:55:21","7:55:40","","","","2","0","6","","13,999","1","117","","-80.526428","43.42772",""
"51","Drive through without schedule time","Elm Ridge / Queens (3308)","7:56:08","7:56:08","","","","0","0","6","","14,177","2","118","","-80.527507","43.426597",""
"52","Drive through without schedule time","Elm Ridge / Silver Aspen (3310)","7:56:48","7:56:48","","","","0","0","6","","14,564","3","120","","-80.524638","43.423407",""
